"GEO";"GEO_OBJECT";"SEX";"AGE";"RP_MEASURE";TIME_PERIOD;OBS_VALUE
"13211";"ARM";"_T";"Y_LT20";"POP";2016;14832.41702
"13212";"ARM";"_T";"Y20T64";"POP";2016;32862.890351
"13212";"ARM";"_T";"Y15T24";"POP";2022;6561.696628
"13212";"ARM";"_T";"Y65T79";"POP";2022;10487.071959
"13212";"ARM";"M";"Y_GE65";"POP";2022;6445.112216
"13211";"ARM";"_T";"Y20T64";"POP";2022;32695.966886
"13212";"ARM";"M";"Y_LT20";"POP";2022;6978.856848
"13212";"ARM";"_T";"_T";"POP";2022;64276
"13211";"ARM";"M";"Y_LT15";"POP";2022;5712.57467
"13211";"ARM";"F";"Y65T79";"POP";2022;4601.180311
"13211";"ARM";"F";"_T";"POP";2022;30929.226396
"13211";"ARM";"F";"Y25T39";"POP";2022;5126.519393
"13212";"ARM";"_T";"Y40T54";"POP";2022;12322.117687
"13211";"ARM";"F";"Y_LT20";"POP";2022;7207.659882
"13212";"ARM";"M";"Y_LT15";"POP";2022;5271.055136
"13212";"ARM";"M";"Y15T24";"POP";2022;3151.206962
"13212";"ARM";"F";"Y25T39";"POP";2022;5971.46738
"13211";"ARM";"_T";"_T";"POP";2022;59033
"13211";"ARM";"F";"Y_GE65";"POP";2022;6610.482856
"13212";"ARM";"F";"Y_GE80";"POP";2022;3590.52786
"13212";"ARM";"F";"Y_LT15";"POP";2022;5029.986215
"13212";"ARM";"M";"Y40T54";"POP";2022;5716.027687
"13211";"ARM";"F";"Y20T64";"POP";2022;17111.083659
"13211";"ARM";"M";"Y55T64";"POP";2022;3831.848316
"13211";"ARM";"M";"_T";"POP";2022;28103.773604
"13211";"ARM";"_T";"Y_LT20";"POP";2022;14837.956178
"13212";"ARM";"F";"Y_LT20";"POP";2022;6919.796805
"13211";"ARM";"F";"Y15T24";"POP";2022;3552.531277
"13212";"ARM";"F";"Y20T64";"POP";2022;18520.018343
"13211";"ARM";"_T";"Y65T79";"POP";2022;8254.602499
"13212";"ARM";"F";"Y55T64";"POP";2022;4421.781887
"13212";"ARM";"M";"Y55T64";"POP";2022;3682.775061
"13212";"ARM";"_T";"Y20T64";"POP";2022;34466.467057
"13211";"ARM";"M";"Y65T79";"POP";2022;3653.422188
"13211";"ARM";"_T";"Y40T54";"POP";2022;11877.097526
"13211";"ARM";"M";"Y20T64";"POP";2022;15584.883227
"13212";"ARM";"M";"Y_GE80";"POP";2022;1833.279471
"13211";"ARM";"M";"Y15T24";"POP";2022;3541.245359
"13212";"ARM";"M";"_T";"POP";2022;29370.417778
"13212";"ARM";"F";"Y40T54";"POP";2022;6606.09
"13212";"ARM";"M";"Y65T79";"POP";2022;4611.832745
"13211";"ARM";"_T";"Y_LT15";"POP";2022;10924.152714
"13211";"ARM";"F";"Y55T64";"POP";2022;4135.730325
"13211";"ARM";"F";"Y40T54";"POP";2022;6292.384501
"13211";"ARM";"F";"Y_GE80";"POP";2022;2009.302545
"13211";"ARM";"_T";"Y_GE65";"POP";2022;11499.076936
"13212";"ARM";"F";"Y65T79";"POP";2022;5875.239214
"13211";"ARM";"M";"Y_LT20";"POP";2022;7630.296296
"13211";"ARM";"M";"Y40T54";"POP";2022;5584.713025
"13212";"ARM";"F";"Y15T24";"POP";2022;3410.489666
"13212";"ARM";"_T";"Y55T64";"POP";2022;8104.556949
"13212";"ARM";"F";"Y_GE65";"POP";2022;9465.767074
"13211";"ARM";"_T";"Y25T39";"POP";2022;9671.317547
"13211";"ARM";"M";"Y_GE65";"POP";2022;4888.59408
"13212";"ARM";"M";"Y20T64";"POP";2022;15946.448714
"13212";"ARM";"_T";"Y_LT20";"POP";2022;13898.653653
"13212";"ARM";"_T";"Y_GE80";"POP";2022;5423.807331
"13212";"ARM";"_T";"Y_LT15";"POP";2022;10301.041352
"13211";"ARM";"_T";"Y_GE80";"POP";2022;3244.474437
"13211";"ARM";"_T";"Y15T24";"POP";2022;7093.776636
"13212";"ARM";"_T";"Y25T39";"POP";2022;11075.708095
"13211";"ARM";"M";"Y25T39";"POP";2022;4544.798155
"13212";"ARM";"F";"_T";"POP";2022;34905.582222
"13212";"ARM";"_T";"Y_GE65";"POP";2022;15910.87929
"13212";"ARM";"M";"Y25T39";"POP";2022;5104.240715
"13211";"ARM";"F";"Y_LT15";"POP";2022;5211.578045
"13211";"ARM";"_T";"Y55T64";"POP";2022;7967.578641
"13211";"ARM";"M";"Y_GE80";"POP";2022;1235.171893
