Équipement,Type,Geo Point,Geo Shape,Arrondissement,COG,Code_postal
LABORATOIRE D ANALYSES ET DE BIOLOGIE MÉDICALE,Santé,"43.32258995713943, 5.436126084729828","{""coordinates"": [5.436126084729828, 43.32258995713943], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN RADIODIAGNOSTIC ET IMAGERIE MÉDICALE,Santé,"43.31623139388243, 5.415421683776438","{""coordinates"": [5.415421683776438, 43.31623139388243], ""type"": ""Point""}",Marseille 12,13212,13012
"BANQUE,CAISSE D’ÉPARGNE",Services aux particuliers,"43.30834067539669, 5.434809596340451","{""coordinates"": [5.434809596340451, 43.30834067539669], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE VÊTEMENTS,Commerces,"43.31484605335876, 5.425004415432376","{""coordinates"": [5.425004415432376, 43.31484605335876], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.294224082076525, 5.42072760887319","{""coordinates"": [5.42072760887319, 43.294224082076525], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.311301036010384, 5.436012572209886","{""coordinates"": [5.436012572209886, 43.311301036010384], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE,Commerces,"43.30519328392971, 5.416824355975502","{""coordinates"": [5.416824355975502, 43.30519328392971], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.31424452150606, 5.437149510022035","{""coordinates"": [5.437149510022035, 43.31424452150606], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.29054518487474, 5.421042448161608","{""coordinates"": [5.421042448161608, 43.29054518487474], ""type"": ""Point""}",Marseille 12,13212,13012
SERVICES FUNÉRAIRES,Services aux particuliers,"43.319281548285005, 5.456842494202941","{""coordinates"": [5.456842494202941, 43.319281548285005], ""type"": ""Point""}",Marseille 12,13212,13012
AMBULANCE,Santé,"43.294224082076525, 5.42072760887319","{""coordinates"": [5.42072760887319, 43.294224082076525], ""type"": ""Point""}",Marseille 12,13212,13012
ÉCOLE MATERNELLE,Enseignement,"43.32114018647499, 5.432962111328205","{""coordinates"": [5.432962111328205, 43.32114018647499], ""type"": ""Point""}",Marseille 12,13212,13012
SUPERMARCHÉ,Commerces,"43.31552064003492, 5.461662204609983","{""coordinates"": [5.461662204609983, 43.31552064003492], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.29543193603071, 5.442567552078803","{""coordinates"": [5.442567552078803, 43.29543193603071], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.30301259550585, 5.468878064723392","{""coordinates"": [5.468878064723392, 43.30301259550585], ""type"": ""Point""}",Marseille 12,13212,13012
PSYCHOLOGUE,Santé,"43.30951227019781, 5.463750991623337","{""coordinates"": [5.463750991623337, 43.30951227019781], ""type"": ""Point""}",Marseille 12,13212,13012
ORTHOPHONISTE,Santé,"43.323150039092695, 5.432036114893546","{""coordinates"": [5.432036114893546, 43.323150039092695], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.30324479176811, 5.441173823939916","{""coordinates"": [5.441173823939916, 43.30324479176811], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’OPTIQUE,Commerces,"43.32040616083784, 5.429983793260441","{""coordinates"": [5.429983793260441, 43.32040616083784], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.31190980524446, 5.41449432300899","{""coordinates"": [5.41449432300899, 43.31190980524446], ""type"": ""Point""}",Marseille 12,13212,13012
AMBULANCE,Santé,"43.31084226945499, 5.420255756350502","{""coordinates"": [5.420255756350502, 43.31084226945499], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.317873160255765, 5.466327144592159","{""coordinates"": [5.466327144592159, 43.317873160255765], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.31299760159453, 5.465190430453724","{""coordinates"": [5.465190430453724, 43.31299760159453], ""type"": ""Point""}",Marseille 12,13212,13012
SERVICES FUNÉRAIRES,Services aux particuliers,"43.29135650483302, 5.417569849586006","{""coordinates"": [5.417569849586006, 43.29135650483302], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.31359791852866, 5.438204952430117","{""coordinates"": [5.438204952430117, 43.31359791852866], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.313986053737956, 5.464706403870564","{""coordinates"": [5.464706403870564, 43.313986053737956], ""type"": ""Point""}",Marseille 12,13212,13012
PÉDICURE-PODOLOGUE,Santé,"43.320838743984076, 5.432155412275086","{""coordinates"": [5.432155412275086, 43.320838743984076], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.30392074820972, 5.417389508933329","{""coordinates"": [5.417389508933329, 43.30392074820972], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.32222189858789, 5.430245258492185","{""coordinates"": [5.430245258492185, 43.32222189858789], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.29819583957599, 5.436107002920108","{""coordinates"": [5.436107002920108, 43.29819583957599], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.312068615791055, 5.432460899091469","{""coordinates"": [5.432460899091469, 43.312068615791055], ""type"": ""Point""}",Marseille 12,13212,13012
